composite,defagn,defstarform,galname
False,False,True,ECO00688
False,False,True,ECO00689
False,False,True,ECO00690
False,False,True,ECO00691
False,False,True,ECO00692
False,False,True,ECO00693
False,False,True,ECO00694
False,False,True,ECO00695
False,False,True,ECO00696
False,False,True,ECO00697
False,False,True,ECO00698
False,False,True,ECO00699
False,False,True,ECO00700
False,False,True,ECO00701
False,False,True,ECO00702
False,False,True,ECO00703
False,False,True,ECO00704
False,False,True,ECO00705
False,False,True,ECO00706
False,False,True,ECO00707
False,False,True,ECO00708
False,False,True,ECO00709
False,False,True,ECO00710
False,False,True,ECO00711
False,False,True,ECO00713
False,False,True,ECO00714
False,False,True,ECO00715
False,False,True,ECO00716
False,False,True,ECO00717
False,False,True,ECO00718
False,False,True,ECO00719
False,False,True,ECO00721
False,False,True,ECO00722
False,False,True,ECO00723
False,False,True,ECO00724
False,False,True,ECO00725
False,False,True,ECO00727
False,False,True,ECO00728
False,False,True,ECO00729
False,False,True,ECO00730
False,False,True,ECO00731
False,False,True,ECO00732
False,False,True,ECO00734
False,False,True,ECO00735
False,False,True,ECO00736
False,False,True,ECO00737
False,False,True,ECO00738
False,False,True,ECO00740
False,False,True,ECO00741
False,False,True,ECO00742
True,False,False,ECO00743
False,False,True,ECO00745
False,False,True,ECO00746
False,False,True,ECO00747
False,False,True,ECO00749
False,False,True,ECO00750
False,False,True,ECO00751
False,False,True,ECO00752
False,False,True,ECO00753
False,False,True,ECO00754
False,False,True,ECO00755
False,False,True,ECO00756
False,False,True,ECO00757
False,False,True,ECO00758
False,False,True,ECO00759
False,False,True,ECO00760
False,False,True,ECO00761
False,False,True,ECO00762
False,False,True,ECO00763
False,False,True,ECO00765
False,False,True,ECO00766
False,False,True,ECO00767
False,False,True,ECO00768
False,False,True,ECO00769
False,False,True,ECO00771
False,False,True,ECO00775
False,False,True,ECO00776
False,False,True,ECO00777
False,False,True,ECO00778
False,False,True,ECO00779
False,False,True,ECO00780
False,False,True,ECO00782
False,False,True,ECO00783
False,False,True,ECO00784
False,False,True,ECO00785
False,False,True,ECO00786
False,False,True,ECO00787
False,False,True,ECO00788
False,False,True,ECO00790
False,False,True,ECO00791
False,False,True,ECO00792
False,False,True,ECO00793
False,False,True,ECO00794
False,False,True,ECO00795
False,False,True,ECO00796
False,False,True,ECO00797
False,False,True,ECO00798
False,False,True,ECO00799
False,False,True,ECO00800
False,False,True,ECO00801
False,False,True,ECO00802
False,False,True,ECO00803
False,False,True,ECO00804
False,False,True,ECO00805
False,False,True,ECO00806
False,False,True,ECO00807
False,False,True,ECO00808
False,False,True,ECO00809
False,False,True,ECO00813
False,False,True,ECO00814
False,True,False,ECO00817
True,False,False,ECO00819
False,False,True,ECO00820
False,False,True,ECO00821
False,False,True,ECO00822
False,False,True,ECO00824
False,False,True,ECO00825
False,False,True,ECO00826
False,False,True,ECO00828
False,False,True,ECO00830
False,False,True,ECO00831
False,False,True,ECO00832
False,False,True,ECO00833
False,False,True,ECO00834
False,False,True,ECO00835
False,False,True,ECO00836
False,False,True,ECO00838
False,False,True,ECO00839
False,False,True,ECO00841
False,False,True,ECO00842
False,False,True,ECO00843
False,False,True,ECO00844
False,False,True,ECO00845
False,False,True,ECO00846
False,False,True,ECO00847
False,False,True,ECO00848
False,False,True,ECO00849
False,False,True,ECO00851
False,False,True,ECO00852
False,False,True,ECO00853
False,False,True,ECO00854
False,False,True,ECO00855
False,False,True,ECO00856
False,False,True,ECO00857
False,False,True,ECO00859
False,False,True,ECO00860
False,False,True,ECO00861
False,False,True,ECO00862
False,False,True,ECO00863
False,False,True,ECO00864
False,False,True,ECO00865
False,False,True,ECO00866
False,False,True,ECO00867
False,False,True,ECO00868
False,False,True,ECO00869
False,False,True,ECO00870
False,False,True,ECO00871
False,False,True,ECO00872
False,False,True,ECO00873
True,False,False,ECO00874
False,False,True,ECO00877
False,False,True,ECO00878
False,False,True,ECO00879
False,False,True,ECO00880
False,False,True,ECO00881
False,False,True,ECO00883
False,False,True,ECO00885
False,False,True,ECO00886
False,False,True,ECO00887
False,False,True,ECO00888
False,False,True,ECO00890
False,False,True,ECO00891
False,False,True,ECO00892
False,True,False,ECO00893
False,False,True,ECO00894
False,False,True,ECO00895
False,False,True,ECO00896
False,False,True,ECO00897
False,False,True,ECO00898
