name,mw3,emw3,mw3_exp,emw3_exp,mw3_ap,emw3_ap
"SJUSHR3031",9.07377,0.0111020,8.96990,0.111457,9.09822,0.00362206
"SJUSHR3032",5.49676,0.0173008,5.59709,0.00435296,5.56699,0.000490189
"SJUSHR3033",8.46674,0.00867411,8.45819,0.0142906,8.49766,0.00120735
"SJUSHR3034",8.22741,0.00777330,8.24719,0.00251714,8.23246,0.00186157
"SJUSHR3035",10.8918,0.0335591,10.4881,0.0628989,10.9232,0.0130291
"SJUSHR3036",9.48168,0.0641581,9.44538,0.0151969,9.60164,0.00377941
"SJUSHR3037",7.01957,0.00446160,6.98652,0.0228856,7.01778,0.00122070
"SJUSHR3038",10.9176,0.0822451,10.2208,0.0314868,11.0788,0.0103817
"SJUSHR3039",0.00000,0.00000,9.53140,0.00610093,10.4235,0.0352945
"SJUSHR304",6.31420,0.00289993,6.33042,0.00434459,6.35235,0.000541687
"SJUSHR3040",6.67511,0.00633566,6.69252,0.0351328,6.69134,0.000743866
"SJUSHR3041",0.00000,0.00000,8.76605,0.182914,8.57856,0.00911903
"SJUSHR3042",10.9284,0.144714,9.64555,0.0903605,10.9202,0.0200100
"SJUSHR3043",11.1324,0.0969350,1.26658,0.000117565,11.1417,0.0320721
"SJUSHR3044",10.9879,0.265985,9.09044,0.0380041,11.1819,0.0145245
"SJUSHR3045",0.00000,0.00000,11.5688,0.0436612,14.2375,0.202849
"SJUSHR3046",11.2905,0.537059,9.55122,0.117569,11.5200,0.0209875
"SJUSHR3047",10.3951,0.751556,9.68296,0.140893,11.0981,0.0144005
"SJUSHR3048",0.00000,0.00000,11.5645,0.00480467,14.4686,0.221238
"SJUSHR3049",0.00000,0.00000,11.2027,0.189071,-NaN,NaN
"SJUSHR305",7.28217,0.00503833,7.27977,0.0211424,7.29735,0.00148296
"SJUSHR3050",11.1857,0.931682,9.72018,0.00368468,11.3158,0.0280161
"SJUSHR3051",12.4529,0.357348,10.7923,0.143898,12.9961,0.127234
"SJUSHR3052",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"SJUSHR3053",9.40664,0.0652735,9.35348,0.0571291,9.50216,0.00680637
"SJUSHR3054",9.52739,26.2834,9.66060,0.0506021,10.6713,0.0117302
"SJUSHR3055",10.3449,0.374587,9.37529,0.0368191,10.9848,0.0129204
"SJUSHR3056",11.5967,0.316447,8.95955,0.0826004,11.8806,0.0195065
"SJUSHR3057",11.9528,0.0807257,9.88807,0.311478,12.0232,0.0369921
"SJUSHR3058",10.6068,0.306244,10.4085,0.0303415,10.5037,0.0245647
"SJUSHR3059",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"SJUSHR306",8.17883,0.00445432,8.08233,0.0244109,8.20041,0.00151920
"SJUSHR3060",11.6159,0.872680,8.54281,0.146749,11.8614,0.0298853
"SJUSHR3061",10.6696,0.191608,8.27921,0.280229,10.9655,0.0180306
"SJUSHR3062",11.6580,0.0847220,10.2417,0.131547,11.7260,0.0163727
"SJUSHR3063",0.00000,0.00000,0.00000,0.00000,7.31234,0.00131416
"SJUSHR3064",11.3952,0.521542,9.35067,0.0150782,11.8582,0.0180235
